doc_id,route,agent1_model,agent1_chemical,agent1_physical,agent1_biological,agent1_methodology,agent1_frame,agent1_n_items,agent1_raw,agent1_time_s,agent1_parse_error,agent1_error,kw_top_pbs,kw_top_score,agent3_model,llm_primary_pb,llm_primary_conf,llm_secondary_pbs,llm_rejected_pbs,llm_reasoning,agent3_time_s,agent3_error,agent4_invoked,agent4_decision,agent4_confidence,agent4_reasoning,agent4_candidates,agent4_time_s,agent4_error,final_primary_pb,total_time_s
b39624d6c38a,llm_judged,qwen2.5:3b,,climate; runoff,,mentioned,earth_sciences,2,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""climate"", ""runoff""],
  ""biological_observations"": [],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.079,,,PB1(6),6,qwen2.5:14b,PB1,High,None,PB5,"The abstract focuses on the uncertainties related to hydrological models in assessing the impact of climate change on water resources at a catchment scale. The primary variable being measured and modeled is the prediction uncertainty derived from hydrological modeling, which directly relates to PB1 (Climate Change) due to its explicit focus on evaluating the impact of climate change on water resources. While the small extractor identified 'climate' as a physical metric, it did not specify that this was in the context of model uncertainties related to climate change impacts, supporting the primary PB selection.",6.774,,,,,,,,,PB1,7.859
8581e74341ad,llm_judged,qwen2.5:3b,PM2.5; BC,AOD; fAOD; fAAOD,,none,earth_sciences,5,"{
  ""chemical_species"": [""PM2.5"", ""BC""],
  ""physical_metrics"": [""AOD"", ""fAOD"", ""fAAOD""],
  ""biological_observations"": [],
  ""methodology"": ""measured,modelled"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.361,,,PB9(11),11,qwen2.5:14b,PB9,High,None,"PB1, PB4, PB5, PB7","The research focuses on the correlation between surface particulate matter (PM2.5) and black carbon concentrations with aerosol optical depth (AOD) measurements, using various remote sensing techniques to improve satellite-based air quality studies. The primary variable measured is atmospheric aerosols, which directly aligns with PB9's core definition of increased atmospheric aerosol particles from human activity. The weak signals agreed with this assessment.",5.567,,,,,,,,,PB9,6.934
03c55a425a95,llm_judged,qwen2.5:3b,,global atmospheric circulation; global warming; dry static energy; latent heat; surface warming; moistening; Clausius–Clapeyron relation; Walker circulation; poleward energy transport; poleward mass transport,,measured,earth_sciences,10,"{
  ""chemical_species"": [],
  ""physical_metrics"": [
    ""global atmospheric circulation"", 
    ""global warming"", 
    ""dry static energy"", 
    ""latent heat"", 
    ""surface warming"", 
    ""moistening"", 
    ""Clausius–Clapeyron relation"", 
    ""Walker circulation"", 
    ""poleward energy transport"", 
    ""poleward mass transport""
  ],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",2.211,,,PB1(6),6,qwen2.5:14b,PB1,High,None,"PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The study quantifies the weakening of global atmospheric circulation by about 5% per degree of global warming through climate-model simulations. The focus is on diagnosing long-term changes in a set of climate models from the IPCC's 5th assessment report, explicitly linking anthropogenic emissions to observed climatic impacts. This operational object aligns with PB1’s core definition and activation logic regarding human-driven alteration of the climate system via greenhouse gas emissions and associated warming.",6.424,,,,,,,,,PB1,8.638
8d8ab7ed834f,llm_judged,qwen2.5:3b,,mean annual temperature; mean annual precipitation; annual NPP; topsoil organic carbon concentration,NPP; SOC storage; climate change impact on biogeographic regions,measured,earth_sciences,7,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""mean annual temperature"", ""mean annual precipitation"", ""annual NPP"", ""topsoil organic carbon concentration""],
  ""biological_observations"": [""NPP"", ""SOC storage"", ""climate change impact on biogeographic regions""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.6,,,PB1(3),3,qwen2.5:14b,PB1,High,None,"PB4, PB5, PB7","The abstract measures the impact of climate change on soil organic carbon (SOC) and annual net primary production (NPP) across various biogeographic regions in Australia. The variable 'mean annual temperature' is explicitly altered by 1°C, which directly activates PB1 due to its focus on human-driven alteration of the climate system through warming scenarios. While other variables like precipitation and NPP are mentioned, they do not independently activate any other Planetary Boundaries. The small extractor and keyword overlap scorer both suggest a connection to climate change, aligning with my judgment.",6.537,,,,,,,,,PB1,8.141
ff6fb1e2be19,llm_judged,qwen2.5:3b,Saccharomyces; Metschnikowia pulcherrima; Torulaspora delbrueckii; Lachancea thermotolerans; Starmerella bacillaris; Oenococcus oeni; Lactobacillus plantarum,sugars; ethanol content; pH; perceived sensory properties; mycotoxins; biogenic amines,microbial proliferation; microorganisms isolated from grapes/musts/wines; microbes belonging to the main categories with a recognized positive role in oenological processes,measured,biology,16,"{
  ""chemical_species"": [""Saccharomyces"", ""Metschnikowia pulcherrima"", ""Torulaspora delbrueckii"", ""Lachancea thermotolerans"", ""Starmerella bacillaris"", ""Oenococcus oeni"", ""Lactobacillus plantarum""],
  ""physical_metrics"": [""sugars"", ""ethanol content"", ""pH"", ""perceived sensory properties"", ""mycotoxins"", ""biogenic amines""],
  ""biological_observations"": [""microbial proliferation"", ""microorganisms isolated from grapes/musts/wines"", ""microbes belonging to the main categories with a recognized positive role in oenological processes""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""biology""
}",3.229,,,PB1(3),3,qwen2.5:14b,PB1,High,None,"PB2, PB4, PB5, PB7","The abstract focuses on the impacts of climate change on wine production, specifically examining microbial proliferation and changes in sugar content, ethanol levels, pH, sensory properties, and safety issues. The primary variable being analyzed is the effect of climate change on these biophysical parameters within the context of oenology. This aligns with PB1's core definition as it involves human-driven alteration of the climate system affecting wine production sustainability. While the small extractor identified physical metrics like pH and ethanol content, these are consequences of climate change rather than direct measurements or models of climate itself.",6.783,,,,,,,,,PB1,10.015
44cb9ddc20a6,llm_judged,qwen2.5:3b,,surface air temperature (SAT); sea ice; ocean; area of arctic sea ice; summer ice coverage; anthropogenic forcing; climate-system variability,,modelled,earth_sciences,7,"{
  ""chemical_species"": [],
  ""physical_metrics"": [
    ""surface air temperature (SAT)"",
    ""sea ice"",
    ""ocean"",
    ""area of arctic sea ice"",
    ""summer ice coverage"",
    ""anthropogenic forcing"",
    ""climate-system variability""
  ],
  ""biological_observations"": [],
  ""methodology"": ""modelled"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.752,,,,0,qwen2.5:14b,PB1,High,PB9,"PB2, PB3, PB4, PB5, PB6, PB7, PB8","The abstract focuses on the measurement and modeling of surface air temperature (SAT) changes and sea ice variability in response to anthropogenic greenhouse-gas forcing over a century-scale perspective. The primary variable being analyzed is climate change, specifically how SAT and sea ice respond to human-driven emissions. This clearly aligns with PB1's core definition of human-driven alteration of the climate system through greenhouse gas emissions and associated warming. While other terms like 'sea ice' are mentioned, they serve as indicators of climate impact rather than primary variables.",7.259,,,,,,,,,PB1,9.014
5194c7c1714e,llm_judged,qwen2.5:3b,,climate,spring-fruiting fungi; fossil bodies,measured,biology,3,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""climate"", ""thermal time""],
  ""biological_observations"": [""spring-fruiting fungi"", ""phenology"", ""fossil bodies""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""biology""
}",1.27,,,PB1(3),3,qwen2.5:14b,PB1,High,None,PB7,"The abstract focuses on the impact of climate change on spring-fruiting fungi, specifically examining how changes in climatic conditions affect their fruit body production. The primary variable being studied is the response of these fungi to altered climates, which directly aligns with PB1's core definition of human-driven alteration of the climate system and its impacts. While the abstract mentions other biological observations, the central theme revolves around climate change as an active forcing.",5.251,,,,,,,,,PB1,6.523
ff153d55d5fd,llm_judged,qwen2.5:3b,,,,mentioned,earth_sciences,0,"{
  ""chemical_species"": [],
  ""physical_metrics"": [],
  ""biological_observations"": [],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""earth_sciences""
}",0.861,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract discusses the concept of planetary health, emphasizing the interconnections between human health and environmental conditions. It does not measure or model any specific biophysical variable but rather focuses on the social, political, and economic factors influencing health. The weak signals from the pre-processing modules did not identify any relevant physical metrics or chemical species, confirming that this is purely a conceptual discussion without operational analysis of planetary boundaries.",5.715,,,,,,,,,None,6.578
a3d6daa1a396,fast_skip_consensus,qwen2.5:3b,,,,mentioned,economics,0,"{
  ""chemical_species"": [],
  ""physical_metrics"": [],
  ""biological_observations"": [],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""economics""
}",0.824,,,,0,,None,ConsensusFilter,None,None,Consensus: Agent1 (0 items + non-bio frame) AND scorer (no PB matched).,,,,,,,,,,None,0.826
eaf6d52d5457,llm_judged,qwen2.5:3b,,925 hPa winds; low-level circulation; Caribbean low-level jet (CLLJ); mid-summer drought,,measured,earth_sciences,4,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""925 hPa winds"", ""low-level circulation"", ""Caribbean low-level jet (CLLJ)"", ""mid-summer drought""],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.453,,,PB1(3),3,qwen2.5:14b,PB1,High,None,"PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract focuses on the sensitivity of regional climate model simulations to domain size and position, specifically examining low-level circulation and precipitation patterns over Central America. The primary variable being measured is the impact of these changes on atmospheric processes such as 925 hPa winds and the Caribbean Low-Level Jet (CLLJ). This aligns with PB1 because it involves active climate modeling and analysis of regional climate characteristics, despite mentioning broader climate impacts in a motivational context.",6.646,,,,,,,,,PB1,8.103
