doc_id,llm_primary_pb,llm_primary_conf,llm_secondary_pbs,llm_rejected_pbs,llm_reasoning,inference_time_sec
b39624d6c38a,PB1,High,None,PB5,"The abstract focuses on the uncertainties related to hydrological models and their impact on climate change assessments for water resources. The study quantifies prediction uncertainties in rainfall-runoff modelling, which directly relates to PB1 (Climate Change) due to its explicit focus on climate change impacts on water resources.",4.720411062240601
8581e74341ad,PB9,High,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8","The research focuses on analyzing the correlation between surface particulate matter (PM2.5) and black carbon concentrations with aerosol optical depth (AOD) using various remote sensing techniques. The study quantifies these variables to improve satellite-based air quality studies, directly addressing atmospheric aerosols and their impact on air quality.",5.30318284034729
03c55a425a95,PB1,High,None,"PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The study quantifies the weakening of global atmospheric circulation by about 5% per degree of warming due to anthropogenic emissions, using climate-model simulations from IPCC AR5. This directly measures a core aspect of PB1 (Climate Change) as it involves greenhouse gas-driven alterations in the climate system and associated impacts on atmospheric dynamics.",5.24049186706543
8d8ab7ed834f,PB1,High,PB4,"PB2, PB3, PB5, PB6, PB7, PB8, PB9","The abstract models the impact of climate change on soil organic carbon (SOC) and annual net primary production (NPP). The study quantifies changes in SOC under different climate scenarios, focusing explicitly on temperature rise and precipitation patterns. This directly aligns with PB1's core definition of human-driven alteration through greenhouse gas emissions and associated warming.",5.772929668426514
ff6fb1e2be19,PB1,High,None,"PB2, PB4, PB5, PB6, PB7, PB8, PB9","The abstract focuses on the impacts of climate change on wine production, specifically detailing microbial challenges and potential biotechnological solutions. The primary variable being measured is the effect of climate change on microbial proliferation and other quality parameters in winemaking, which directly relates to PB1 (Climate Change) due to its explicit focus on climate-driven changes affecting food systems.",8.865144968032837
44cb9ddc20a6,PB1,High,None,"PB2, PB4, PB5, PB6, PB7, PB8, PB9","The research focuses on evaluating Arctic climate variability through observational data and model simulations, specifically addressing surface air temperature (SAT) changes and sea ice reduction in response to anthropogenic greenhouse gas emissions. The primary variable measured is the impact of these emissions on SAT and sea ice extent, clearly aligning with PB1's core definition of human-driven alteration of the climate system.",5.398654460906982
5194c7c1714e,PB1,High,None,PB7,"The abstract focuses on the relationship between climate change and spring-fruiting fungi, specifically examining how changes in climatic conditions affect fungal fruit body production. The primary variable being measured is the ecological response of fungi to climate-driven shifts, which directly aligns with PB1's core definition of human-driven alteration of the climate system affecting ecosystems.",4.382953405380249
ff153d55d5fd,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract discusses the concept of planetary health and its relevance in personalized medicine, emphasizing social, political, and economic ecosystems. However, it does not measure or model any specific biophysical variable related to Planetary Boundaries. The focus is on conceptual discourse rather than empirical analysis.",4.606231451034546
a3d6daa1a396,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract focuses on analyzing food poverty and its effects due to the Covid-19 pandemic, using parameters such as centrality, variability, and correlation. The analysis is purely social and economic, with no direct biophysical measurements or models of any planetary boundary variables.",4.526388645172119
eaf6d52d5457,PB1,High,None,"PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The study focuses on the sensitivity of regional climate model simulations to domain size and position, specifically examining low-level circulation and precipitation patterns over Central America. The primary variable being modeled is the impact of these changes on atmospheric processes and precipitation patterns, which aligns with PB1 due to its explicit focus on climate modeling and representation.",5.377432107925415
11e601dd40d6,PB1,High,None,"PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The study quantifies the offshore wind energy potential using WRF model simulations and CMIP6 data, focusing on climate-driven projections for future wind energy availability. The analysis is centered around measuring wind energy potential rather than discussing general climate impacts or other biophysical boundaries.",4.855748176574707
