doc_id,llm_primary_pb,llm_primary_conf,llm_secondary_pbs,llm_rejected_pbs,llm_reasoning,inference_time_sec
b39624d6c38a,None,N/A,None,PB1,"The abstract discusses uncertainties in hydrological models and their impact on climate change assessments, particularly focusing on the evaluation of water resources at the catchment scale. While it mentions 'climate change', the primary focus is on model uncertainties rather than direct biophysical measurements or environmental impacts. The text does not provide explicit details about greenhouse gas emissions, warming effects, or ecological responses to climate change that would directly activate PB1. Therefore, based on the Exclusion Rule and Anti-Overfiltering Clause, this abstract should be treated as a study of methodological uncertainties rather than direct biophysical impacts.",5.666402339935303
8581e74341ad,PB9,High,None,PB1,"The abstract discusses the analysis of aerosol optical depth (AOD) and surface concentrations of particulate matter (PM2.5) and black carbon, focusing on their relationships and correlations using ground observations and satellite data. The study explicitly measures PM2.5, BC, and AOD, which are core biophysical metrics directly related to atmospheric aerosols. While the abstract also mentions climate-related terms like UV spectral region, these do not override the primary focus on particulate matter and aerosol optical properties. Applying the Anti-Overfiltering clause, the study's explicit measurement of PM2.5 and AOD aligns with PB9's core definition and activation logic. The exclusion rules confirm that this is not a generic climate or air quality paper but one focused on specific aerosol metrics.",7.78580904006958
03c55a425a95,PB1,High,None,PB9,"The abstract explicitly discusses the weakening of global atmospheric circulation and changes in poleward energy transport due to anthropogenic emissions, which directly impacts climate patterns. The study measures these biophysical metrics through climate-model simulations and diagnoses long-term changes related to warming. This clearly falls under the core definition of PB1 (Climate Change) as it involves greenhouse gas emissions leading to warming and altering atmospheric circulation patterns. There is no mention of aerosol loading or particulate matter, so PB9 does not apply. The study focuses on climate-related impacts without delving into other planetary boundaries.",5.9564430713653564
8d8ab7ed834f,PB1,High,None,None,"The abstract discusses the simulation of soil organic carbon (SOC) changes under different climate change scenarios, focusing on temperature and precipitation impacts. It mentions a rise in mean annual temperature by 1°C with no significant change in precipitation for Scenario B. The study also highlights regional variations in NPP (Net Primary Productivity) and SOC storage. While the abstract touches upon climate-driven ecological responses such as changes in NPP and SOC, it does not explicitly measure greenhouse gas emissions or warming impacts directly related to PB1's core definition. However, the biophysical impact of climate change on soil organic carbon and vegetation productivity is a valid ecological response to climate drivers (PB1). The study also lacks explicit terms that would trigger other planetary boundaries such as ocean acidification (PB2), stratospheric ozone depletion (PB3), or novel entities (PB8). Therefore, the primary focus aligns with PB1 due to its relevance to biophysical impacts of climate change. No secondary or rejected planetary boundaries are applicable based on the provided content.",9.368302583694458
ff6fb1e2be19,PB1,High,None,"PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract discusses the impacts of climate change on food systems, specifically focusing on wine production. It mentions several biophysical and ecological responses to climate change such as increased microbial proliferation, changes in sugar content leading to higher ethanol levels, reduced acidity, altered pH levels, sensory property imbalances, and intensified safety issues like mycotoxins and biogenic amines. These are clear indicators of direct environmental impacts due to changing climatic conditions. However, the abstract does not explicitly mention greenhouse gas emissions or carbon-related mitigation strategies. Therefore, while it clearly falls under ecological responses to climate change (PB1), it must be evaluated carefully against the exclusion rules to ensure no over-rejection occurs.",8.036194562911987
44cb9ddc20a6,PB1,High,None,None,"The abstract discusses changes in the Arctic climate system, focusing on surface air temperature (SAT) and sea ice extent over a century-scale perspective. It explicitly mentions anthropogenic greenhouse-gas forcing as a driver of recent warming events and observes significant reductions in arctic sea ice area. The study uses both observational data and model simulations to understand these trends, indicating clear biophysical impacts related to climate change. While the abstract does not mention specific terms like 'renewable energy systems' or 'carbon capture', it clearly addresses the core definition of PB1 by discussing greenhouse gas emissions and their impact on Arctic warming and sea ice reduction. The study also mentions distinct SAT changes in recent decades compared to earlier periods, suggesting a human-driven response rather than natural variability. This aligns with the activation logic for PB1 which includes explicit references to anthropogenic forcing and climate impacts.",8.100945711135864
5194c7c1714e,PB1,High,PB7,None,"The abstract discusses the adaptation and phenological shifts of spring-fruiting fungi in response to changing climatic conditions over the last five decades. While it does not explicitly mention greenhouse gas emissions or CO2, it clearly measures ecological responses to climate change (PB1). The study focuses on how these fungi adapt to global warming, which is a direct biophysical impact of climate change. Additionally, the research involves biodiversity and ecosystem integrity as it examines species adaptation and phenological shifts, aligning with PB7. Applying the Anti-Overfiltering clause, ecological responses to climate drivers are valid biophysical metrics. Therefore, I must not over-reject.",7.239099740982056
ff153d55d5fd,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract discusses the concept of planetary health, emphasizing the interconnections between human health and environmental conditions. It mentions gross environmental concerns but does not provide specific biophysical metrics or ecological responses that would directly link to any Planetary Boundaries (PBs). The text is primarily focused on social, political, and economic factors influencing health rather than direct measurements or impacts related to climate change, ocean acidification, stratospheric ozone depletion, etc. Therefore, applying the Exclusion Rule strictly, this abstract does not meet the criteria for assigning any Planetary Boundaries.",6.730629205703735
a3d6daa1a396,None,N/A,None,None,"The abstract focuses on analyzing food poverty and its effects due to the Covid-19 pandemic in Mexico City, using a capability approach. The study employs centrality, variability, and correlation parameters to identify impacts on food poverty but does not provide any direct biophysical measurements or environmental data related to Planetary Boundaries. It discusses economic, sociocultural, and environmental settings but lacks explicit references to climate change, ocean acidification, stratospheric ozone depletion, biogeochemical flows, freshwater use, land-system changes, biosphere integrity, novel entities, or atmospheric aerosol loading. The inclusion of 'environmental setting' is too vague and does not meet the criteria for any specific Planetary Boundary. Applying the Exclusion Rule strictly, this paper must be rejected to avoid false positives.",7.0717082023620605
eaf6d52d5457,None,N/A,None,PB1,"The abstract discusses the sensitivity of regional climate model simulations to domain size and position, focusing on low-level circulation and precipitation patterns over Central America. The study mentions key atmospheric phenomena such as the Caribbean Low-Level Jet (CLLJ) and its role in moisture transport into Central America. While it touches upon climate change impacts and vulnerabilities, there is no explicit measurement or direct biophysical impact of greenhouse gas emissions or warming that would directly activate PB1. However, the research does involve regional climate modeling which can be indirectly related to climate change but lacks specific ecological responses or measurements of climate drivers. Applying the Anti-Overfiltering clause, while it measures climate characteristics and atmospheric processes, it does not explicitly measure biophysical impacts of climate change. Therefore, it must be rejected for PB1 due to lack of direct evidence.",7.5733232498168945
